"n_grp","start","end","text","video_id","suffix"
515,1369.75,1373.72,"la récidive, le le la mort de de Matis.","6IOUEJN6GRI","bfm"
516,1373.72,1378.269,"Le chauffard avait 11 condamnations. 11 condamnations. Il y aura une","6IOUEJN6GRI","bfm"
517,1378.269,1379.72,"interdiction officielle de détention et","6IOUEJN6GRI","bfm"
518,1379.72,1382.71,"de consommation du protoxide d'azote au volant. Je le souhaite et je souhaite","6IOUEJN6GRI","bfm"
519,1382.71,1384.12,"aussi qu'on puisse saisir le véhicule","6IOUEJN6GRI","bfm"
520,1384.12,1386.789,"lorsqu'on trouve du protoxyde d'azote dans le véhicule et je souhaite que ce","6IOUEJN6GRI","bfm"
521,1386.789,1388.08,"soit une circonstance aggravante","6IOUEJN6GRI","bfm"
522,1388.08,1391.99,"lorsqu'il y a des accidents et lorsqu'il y a des assassinats involontaires. On","6IOUEJN6GRI","bfm"
523,1391.99,1393.799,"appelle ça désormais un homicide routier","6IOUEJN6GRI","bfm"
524,1393.799,1396.63,"selon la loi qu'on vient de faire adopter. Je souhaite qu'effectivement le","6IOUEJN6GRI","bfm"
525,1396.63,1397.799,"protoxyde d'azote soit vu comme la","6IOUEJN6GRI","bfm"
526,1397.799,1400.669,"drogue. 1000 euh nouveaux agents dans le","6IOUEJN6GRI","bfm"
527,1400.669,1402.24,"prochain budget-vous dit. Encore","6IOUEJN6GRI","bfm"
528,1402.24,1405.71,"faudrait-il qu'il soit voté ? C'est toute la question. Est-ce que","6IOUEJN6GRI","bfm"
529,1405.71,1407.44,"aujourd'hui vous considérez que votre","6IOUEJN6GRI","bfm"
530,1407.44,1410.75,"famille politique c'est toujours ce qu'on appelait initialement le socle","6IOUEJN6GRI","bfm"
531,1410.75,1413.48,"commun ? Quand on voit que ni LR ni","6IOUEJN6GRI","bfm"
532,1413.48,1416.269,"Horizon n'ont voté pour au contraire du","6IOUEJN6GRI","bfm"
533,1416.269,1417.44,"partie d'horizon et une partie des ont","6IOUEJN6GRI","bfm"
534,1417.44,1419.269,"voté pour au contraire du PS.","6IOUEJN6GRI","bfm"
535,1419.269,1421.159,"Alors le budget de la sécurité sociale","6IOUEJN6GRI","bfm"
536,1421.159,1424.63,"n'est pas le meilleur budget que l'on est fait. C'est un budget qui met","6IOUEJN6GRI","bfm"
537,1424.63,1426.44,"parfois plus d'impôts, parfois plus de","6IOUEJN6GRI","bfm"
538,1426.44,1428.39,"dépenses et qui fait pas la réforme des rotation. En fait, vous l'auriez pas","6IOUEJN6GRI","bfm"
539,1428.39,1429.44,"voté vous-même.","6IOUEJN6GRI","bfm"
540,1429.44,1432.11,"Je me suis exprimé publiquement pour dire que je l'aurais voté parce que dans","6IOUEJN6GRI","bfm"
541,1432.11,1433.159,"la situation politique dans laquelle on","6IOUEJN6GRI","bfm"
542,1433.159,1436.99,"est, c'est ça où la dissolution. Donc je comprends le travail très important,","6IOUEJN6GRI","bfm"
543,1436.99,1438.679,"très courageux qu'a fait Sébastien Lecnu","6IOUEJN6GRI","bfm"
544,1438.679,1442.19,"de compromis pour la stabilité de notre pays. Est-ce que c'est le budget rêvé","6IOUEJN6GRI","bfm"
545,1442.19,1443.6,"pour la sécurité sociale ? La réponse","6IOUEJN6GRI","bfm"
546,1443.6,1446.83,"est non. Moi, je ne pense pas du tout qu'il faille augmenter les impôts et","6IOUEJN6GRI","bfm"
547,1446.83,1448.4,"augmenter les dépenses et pas faire la","6IOUEJN6GRI","bfm"
548,1448.4,1451.75,"réforme des retraites. Et je trouve qu'Édouard Philippe a eu raison","6IOUEJN6GRI","bfm"
549,1451.75,1453.799,"d'alerter sur les comptes publics. Mais","6IOUEJN6GRI","bfm"
550,1453.799,1456.43,"une fois qu'on a dit ça, je constate aussi la responsabilité d'Édouard","6IOUEJN6GRI","bfm"
551,1456.43,1457.48,"Philippe et de tous ceux qui ont","6IOUEJN6GRI","bfm"
552,1457.48,1460.87,"accompagné ce budget son à la fin n'ont pas appelé à voter contre.","6IOUEJN6GRI","bfm"
553,1460.87,1462.24,"Bah, le budget n'a pas été retoqué.","6IOUEJN6GRI","bfm"
554,1462.24,1464.63,"C'est une très bonne chose le budget de la sécurité sociale. Maintenant, il","6IOUEJN6GRI","bfm"
555,1464.63,1465.64,"faudra que dans la campagne","6IOUEJN6GRI","bfm"
556,1465.64,1468.95,"présidentielle qui arrive et notamment dans la prochaine majorité, dans","6IOUEJN6GRI","bfm"
557,1468.95,1471,"désormais plus d'un an, on puisse en","6IOUEJN6GRI","bfm"
558,1471,1475.35,"effet retrouver un schéma qui baisse les dépenses, qui baisse les impôts, qui","6IOUEJN6GRI","bfm"
559,1475.35,1476.64,"encourage l'entreprise et qui explique","6IOUEJN6GRI","bfm"
560,1476.64,1479.51,"aux Français qu'il faut travailler non pas tous davantage parce que beaucoup de","6IOUEJN6GRI","bfm"
561,1479.51,1480.84,"Français travaillent beaucoup mais un","6IOUEJN6GRI","bfm"
562,1480.84,1483.71,"certain nombre ne travaillent pas assez et c'est ça qu'il faudra faire. Vous","6IOUEJN6GRI","bfm"
563,1483.71,1486.559,"vous êtes engagé officiellement au moins","6IOUEJN6GRI","bfm"
564,1486.559,1490.87,"le temps que vous soyez ministre à ne pas être àoprement parlé dans l'arène","6IOUEJN6GRI","bfm"
565,1490.87,1492.799,"politique des ambition de 2027. Ça vous","6IOUEJN6GRI","bfm"
566,1492.799,1494.75,"coûte ? Non parce que je fais des choses utiles","6IOUEJN6GRI","bfm"
567,1494.75,1495.64,"pour les Français. Vous venez de le","6IOUEJN6GRI","bfm"
568,1495.64,1498.83,"dire. Je pense que nous remettons droit à la maison justice. On met droit les","6IOUEJN6GRI","bfm"
569,1498.83,1501.96,"les prisons. Je me bats pour ça et je me","6IOUEJN6GRI","bfm"
570,1501.96,1505.71,"bats pour donner à la France ce qu'elle veut. C'est-à-dire, je crois une justice","6IOUEJN6GRI","bfm"
571,1505.71,1508.08,"juste, digne, humaine, mais ferme. Et","6IOUEJN6GRI","bfm"
572,1508.08,1510.43,"puis après, lorsque j'auraiis rempli ma mission, comme je l'ai fait aux impôts","6IOUEJN6GRI","bfm"
573,1510.43,1511.72,"avec l'impôt à la source, comme je l'ai","6IOUEJN6GRI","bfm"
574,1511.72,1514.43,"fait à l'intérieur avec les Jeux Olympiques, et ben nous verrons ce que","6IOUEJN6GRI","bfm"
575,1514.43,1516.799,"je ferai pour notre pays collectivement,","6IOUEJN6GRI","bfm"
576,1516.799,1518.75,"soit à ma simple place d'élus local à Tourcoin,","6IOUEJN6GRI","bfm"
577,1518.75,1519.32,"soit","6IOUEJN6GRI","bfm"
578,1519.32,1522.029,"bah soit pour contribuer au débat national. Et quand on est un homme","6IOUEJN6GRI","bfm"
579,1522.029,1523.679,"politique, je pense qu'on aime son pays,","6IOUEJN6GRI","bfm"
580,1523.679,1526.51,"on a envie qu'il aille mieux. Et j'aime mon pays et je souhaite qu'il aille","6IOUEJN6GRI","bfm"
581,1526.51,1526.919,"mieux.","6IOUEJN6GRI","bfm"
582,1526.919,1530.389,"Merci Gérald Darmanin, ministre de la justice d'avoir répondu à mes questions","6IOUEJN6GRI","bfm"
583,1530.389,1535.52,"justice d'avoir répondu à mes questions ce matin. Il est 8h52 sur AMC BFM TV. M.","6IOUEJN6GRI","bfm"
0,11.96,15.669,"29 et vous êtes bien sur RMC et BFM TV. Bonjour Dominique Chelcher.","Ab_5e7jEoag","bfm"
1,15.669,16.52,"Bonjour Apoline de","Ab_5e7jEoag","bfm"
2,16.52,19.51,"merci d'être dans dans ce studio pour répondre à à mes questions. Vous êtes le","Ab_5e7jEoag","bfm"
3,19.51,20.8,"président directeur général de","Ab_5e7jEoag","bfm"
4,20.8,25.99,"coopérative U les magasins U 1700 magasins dont le vôtre d'ailleurs qui","Ab_5e7jEoag","bfm"
5,25.99,28.119,"est en Alsace. On va rentrer avec vous","Ab_5e7jEoag","bfm"
6,28.119,31.87,"dans les rayons parce que Noël au fond ça commence chez vous, ça commence dans","Ab_5e7jEoag","bfm"
7,31.87,33.84,"les supermarchés. Mais d'abord une","Ab_5e7jEoag","bfm"
8,33.84,38.51,"question sur cette colère agricole qui ne faiblit pas. Ils disent être prêt à","Ab_5e7jEoag","bfm"
9,38.51,41.6,"tenir jusqu'à Noël avec certaines poches","Ab_5e7jEoag","bfm"
10,41.6,46.35,"de colère particulière notamment dans le sud-ouest. Comment est-ce que vous vous","Ab_5e7jEoag","bfm"
11,46.35,48.199,"voyez ça ? Est-ce que vous comprenez","Ab_5e7jEoag","bfm"
12,48.199,52.189,"cette colère ? Est-ce que ça aura des conséquences aussi sur les prix ? Alors,","Ab_5e7jEoag","bfm"
13,52.189,54,"tout d'abord, moi je je compatis hein","Ab_5e7jEoag","bfm"
14,54,58.029,"avec euh euh les agriculteurs qui sont touchés particulièrement et qui ont dû","Ab_5e7jEoag","bfm"
15,58.029,61.079,"euh ou ou des bêtes ont dû être abattu,","Ab_5e7jEoag","bfm"
16,61.079,64.189,"hein. Ça, je j'imagine quand vous touchez à votre outil de travail, à des","Ab_5e7jEoag","bfm"
17,64.189,65.519,"bêtes que vous avez élevé, ça doit être","Ab_5e7jEoag","bfm"
18,65.519,70.19,"extrêmement euh extrêmement difficile. Il y aura pas de conséquence euh","Ab_5e7jEoag","bfm"
19,70.19,73,"aujourd'hui sur les magasins, sur la","Ab_5e7jEoag","bfm"
20,73,76.59,"consommation. Je rappelle que cette maladie ne se transmet pas à l'homme.","Ab_5e7jEoag","bfm"
21,76.59,78.52,"Donc il y a pas d'inquiétude à avoir de","Ab_5e7jEoag","bfm"
22,78.52,80.95,"ce côté-là. Compris sur la consommation de la","Ab_5e7jEoag","bfm"
23,80.95,83.079,"compris sur la consommation. Voilà, pour","Ab_5e7jEoag","bfm"
24,83.079,87.91,"l'instant voilà, je crois que c'est 0,02 % des","Ab_5e7jEoag","bfm"
25,87.91,89.6,"bêtes qui sont concernées. Donc ça reste","Ab_5e7jEoag","bfm"
26,89.6,93.03,"mais voilà, mais il faut s'en occuper. C'est une situation sanitaire et elle","Ab_5e7jEoag","bfm"
27,93.03,94.2,"est elle est préoccupante et","Ab_5e7jEoag","bfm"
28,94.2,99.03,"cette colère, elle est effectivement relancée par la dermatose mais on sent","Ab_5e7jEoag","bfm"
29,99.03,101.2,"qu'elle qu'elle vient aussi s'ajouter à","Ab_5e7jEoag","bfm"
30,101.2,107.069,"un fond d'inquiétude, le mercossur, les revenus agricoles, mais il n'y a plus,","Ab_5e7jEoag","bfm"
31,107.069,108.56,"semble-t-il, mais vous allez me me le","Ab_5e7jEoag","bfm"
32,108.56,112.389,"dire, d'accrimonie à votre endroit.","Ab_5e7jEoag","bfm"
33,112.389,113.759,"C'est-à-dire que lors des des","Ab_5e7jEoag","bfm"
34,113.759,118.83,"précédentes colères agricoles, des euh centrales d'achat euh des points de","Ab_5e7jEoag","bfm"
35,118.83,120.64,"stockage des des hypermarchés ou des","Ab_5e7jEoag","bfm"
36,120.64,123.469,"supermarchés étaient pris pour cible, ce n'est pas le cas.","Ab_5e7jEoag","bfm"
37,123.469,124.68,"Ça n'est pas le cas aujourd'hui. Il y a","Ab_5e7jEoag","bfm"
38,124.68,128.749,"pu avoir ponctuellement des visites de magasin. Il y a un point toujours qui","Ab_5e7jEoag","bfm"
39,128.749,130.56,"fait leur attention et ils ont raison et","Ab_5e7jEoag","bfm"
40,130.56,133.43,"je les soutiens là-dessus, c'est des visites pour vérifier l'origine France","Ab_5e7jEoag","bfm"
41,133.43,134.8,"dans les supermarchés. Donc ça a pu","Ab_5e7jEoag","bfm"
42,134.8,137.869,"arriver ponctuellement, mais ça n'est pas le cas. Vous avez raison, c'est","Ab_5e7jEoag","bfm"
43,137.869,139.959,"d'abord cette maladie, ensuite c'est le","Ab_5e7jEoag","bfm"
44,139.959,144.19,"mercur, l'actualité c'est cette semaine, c'est jeudi. Mais vous savez, moi la","Ab_5e7jEoag","bfm"
45,144.19,145.56,"meilleure réponse par rapport à ça,","Ab_5e7jEoag","bfm"
46,145.56,148.589,"j'entends les Français, ils adorent leurs agriculteurs et ils ont raison.","Ab_5e7jEoag","bfm"
47,148.589,150.04,"Ils nous nourrissent tous les jours,","Ab_5e7jEoag","bfm"
48,150.04,154.35,"mais ils sont un peu parfois devant leur télé et ils disent ""Oh oui, on on","Ab_5e7jEoag","bfm"
49,154.35,156.56,"compatit avec eux."" Mais la vraie chose","Ab_5e7jEoag","bfm"
50,156.56,159.71,"à faire en fait, c'est demain quand vous faites vos courses et particulièrement","Ab_5e7jEoag","bfm"
51,159.71,160.879,"pour toutes les courses de Noël","Ab_5e7jEoag","bfm"
52,160.879,164.39,"d'acheter français pour les soutenir. Et c'est ce à quoi moi j'appelle depuis","Ab_5e7jEoag","bfm"
53,164.39,166.12,"toujours. Nous, notre responsabilité de","Ab_5e7jEoag","bfm"
54,166.12,168.869,"distributeur, c'est avoir le maximum de produits français et nous, on est très","Ab_5e7jEoag","bfm"
55,168.869,170.8,"engagé là-dessus. Et après, les Français","Ab_5e7jEoag","bfm"
56,170.8,174.149,"quand ils vont au magasin qu'il retournent leur produit, j'appelle ça le","Ab_5e7jEoag","bfm"
57,174.149,175.72,"réflexe origine France. Prenez le","Ab_5e7jEoag","bfm"
58,175.72,178.71,"produit, retournez-le. S'il n'est pas d'origine France pour ces fêtes,","Ab_5e7jEoag","bfm"
59,178.71,180.72,"reposez-le et achetez du français. Mais","Ab_5e7jEoag","bfm"
60,180.72,182.869,"en même temps, vous avez besoin de vendre tous vos produits qu' soient de","Ab_5e7jEoag","bfm"
61,182.869,184.4,"dire à vous aussi de choisir de ne","Ab_5e7jEoag","bfm"
62,184.4,187.11,"mettre dans vos rayons, j'allais dire que des produits français.","Ab_5e7jEoag","bfm"
63,187.11,189.28,"Mais c'est pour ça que tous nos produits","Ab_5e7jEoag","bfm"
64,189.28,194.229,"frais à la marque Uit frais libre service sont français. L'essentiel de","Ab_5e7jEoag","bfm"
65,194.229,196.519,"nos fruits et légumes est français 78 %","Ab_5e7jEoag","bfm"
66,196.519,200.509,"ça peut pas être 100 % bien évidemment mais je dis acheter dès que c'est un","Ab_5e7jEoag","bfm"
67,200.509,202.72,"produit produit par les agriculteurs","Ab_5e7jEoag","bfm"
68,202.72,206.19,"français privilégier l'origine France. Ça c'est du soutien et on va en effet","Ab_5e7jEoag","bfm"
69,206.19,207.56,"rentrer dans les rayons avec vous mais","Ab_5e7jEoag","bfm"
70,207.56,210.55,"j'évoqué à l'instant la question du mercour. Il y a un an, vous disiez en","Ab_5e7jEoag","bfm"
71,210.55,212.439,"l'État, il n'est pas signable pour nos","Ab_5e7jEoag","bfm"
72,212.439,216.149,"pour nos producteurs français. Est-ce que aujourd'hui vous vous êtes penché","Ab_5e7jEoag","bfm"
73,216.149,218.599,"dessus ? Je sais que euh Emmanuel Macron","Ab_5e7jEoag","bfm"
74,218.599,222.75,"essaye, il dit euh on peut pas le signer en l'État, mais l'Allemagne de son côté","Ab_5e7jEoag","bfm"
75,222.75,223.92,"dit faut le signer. Donc on ne sait pas","Ab_5e7jEoag","bfm"
76,223.92,228.149,"qui gagnera ce bras de fer en Europe. Vous grande distribution, quel regard","Ab_5e7jEoag","bfm"
77,228.149,229.799,"vous portez sur le Mercossur ?","Ab_5e7jEoag","bfm"
78,229.799,233.47,"La première chose déjà, c'est que nous on n'achètera pas ces produits s'il","Ab_5e7jEoag","bfm"
79,233.47,235.239,"devait arriver en France. Ça, je vous le","Ab_5e7jEoag","bfm"
80,235.239,239.589,"dis. On n'achètera pas de produits d'Amérique du Sud à partir du moment où","Ab_5e7jEoag","bfm"
81,239.589,241.12,"il y a les produits équivalents","Ab_5e7jEoag","bfm"
82,241.12,243.869,"français. On nen achètera pas. Vous n'en achèterez pas. Vous vous","Ab_5e7jEoag","bfm"
83,243.869,245.56,"engagez ce matin àit","Ab_5e7jEoag","bfm"
84,245.56,249.71,"mercureû ou pas mercurû vous n'importerez pas ces produitsl. C'est","Ab_5e7jEoag","bfm"
85,249.71,252.959,"loyal quand on oblige des agriculteurs à","Ab_5e7jEoag","bfm"
86,252.959,257.069,"produire avec un certain nombre de normes de contraintes qui sont lourdes","Ab_5e7jEoag","bfm"
87,257.069,258.639,"mais que des produits sont susceptibles","Ab_5e7jEoag","bfm"
88,258.639,261.83,"d'arriver avec des contraintes moindres, c'est une forme de concurrence déloyale.","Ab_5e7jEoag","bfm"
89,261.83,263.6,"Moi, je trouve que le mercosur c'est un","Ab_5e7jEoag","bfm"
90,263.6,267.95,"peu le chi in de la concurrence déloyale pour eux. Voilà, c'est un peu les mêmes","Ab_5e7jEoag","bfm"
91,267.95,269.72,"combats. Nous, on a ce sujet-là dans le","Ab_5e7jEoag","bfm"
92,269.72,273.029,"commerce, ils l'ont dans l'agriculture. Moi, je dis un moment, il faut se","Ab_5e7jEoag","bfm"
93,273.029,275.479,"protéger. Donc euh je crois que les","Ab_5e7jEoag","bfm"
94,275.479,279.39,"chances c'est ce jeudi. L'Europe est en train de reculer aujourd'hui même je","Ab_5e7jEoag","bfm"
95,279.39,281.96,"crois sur l'automobile hein. C'est","Ab_5e7jEoag","bfm"
96,281.96,286.83,"l'interdiction de vente de moteur thermique en 2035 va finalement être","Ab_5e7jEoag","bfm"
97,286.83,288.44,"assoupli. Exactement. Exactement. Donc","Ab_5e7jEoag","bfm"
98,288.44,293.189,"j'espère que jeudi, il y aura la prise en compte des demandes de la France pour","Ab_5e7jEoag","bfm"
99,293.189,295.56,"protéger aussi notre agriculture qui est","Ab_5e7jEoag","bfm"
100,295.56,298.67,"des traités, qui a des échanges internationaux sur un certain nombre de","Ab_5e7jEoag","bfm"
101,298.67,300.16,"produits. Oui, mais on ne peut pas le","Ab_5e7jEoag","bfm"
102,300.16,304.469,"faire au risque d'affaiblir nos producteurs et notre économie.","Ab_5e7jEoag","bfm"
103,304.469,306.4,"Vous venez d'évoquer Chine qui pour vous","Ab_5e7jEoag","bfm"
104,306.4,310.79,"est un pendant, c'est-à-dire de cette concurrence déloyale. Il y a aujourd'hui","Ab_5e7jEoag","bfm"
105,310.79,312.36,"une offensive du gouvernement contre","Ab_5e7jEoag","bfm"
106,312.36,316.11,"Chine. Est-ce que vous estimez que c'est suffisant au bon moment ? et l'Union","Ab_5e7jEoag","bfm"
107,316.11,317.52,"européenne elle-même finit par se","Ab_5e7jEoag","bfm"
108,317.52,321.51,"réveiller puisque les colis de moins de 150 € étaient exonérés purement et","Ab_5e7jEoag","bfm"
109,321.51,323.44,"simplement de droits de douane. Donc","Ab_5e7jEoag","bfm"
110,323.44,326.67,"même des colis plus cher était officiellement","Ab_5e7jEoag","bfm"
111,326.67,328.8,"prononcé comme des colis de moins de 150","Ab_5e7jEoag","bfm"
112,328.8,332.51,"€ pour ne pas avoir à payer les droits de douane. Il va y avoir finalement une","Ab_5e7jEoag","bfm"
113,332.51,335.919,"taxe 3 € sans doute sur les petits colis","Ab_5e7jEoag","bfm"
114,335.919,339.51,"à laquelle se rajoutera peut-être une taxe française. Est-ce que ça vous","Ab_5e7jEoag","bfm"
115,339.51,341.88,"paraît une bonne réponse ? C'est un","Ab_5e7jEoag","bfm"
116,341.88,345.15,"début de bonne réponse. Moi, je me réjouis que le gouvernement actuel s'en","Ab_5e7jEoag","bfm"
117,345.15,347.24,"occupe. Il y avait de nombreuses alertes","Ab_5e7jEoag","bfm"
118,347.24,350.23,"d'un certain nombre d'acteurs depuis depuis longtemps sur cette réelle","Ab_5e7jEoag","bfm"
119,350.23,352.8,"concurrence des loyales. Et enfin, je","Ab_5e7jEoag","bfm"
120,352.8,356.749,"dirais ça bouge. Et donc les taxes et euh la taxe de 3 € au niveau européen,","Ab_5e7jEoag","bfm"
121,356.749,359.4,"c'est le 1er janvier 2026. Donc euh non,","Ab_5e7jEoag","bfm"
122,359.4,363.55,"le 1er juillet 2026. 1er juillet. Donc ça c'est une c'est une bonne nouvelle.","Ab_5e7jEoag","bfm"
123,363.55,367.08,"Mais je dirais enfin quand des produits","Ab_5e7jEoag","bfm"
124,367.08,370.029,"qui ont été contrôlés par les ministres il y a quelques semaines à Roissi","Ab_5e7jEoag","bfm"
125,370.029,372.56,"étaient non conformes. On ne peut pas le","Ab_5e7jEoag","bfm"
126,372.56,376.749,"tolérer, on ne peut pas l'accepter et je lance d'ailleurs un appel au","Ab_5e7jEoag","bfm"
127,376.749,379.039,"consommateur. Je dis faites attention","Ab_5e7jEoag","bfm"
128,379.039,383.43,"particulièrement pour les jouets. C'est une association de consomateurs qui a","Ab_5e7jEoag","bfm"
129,383.43,385,"fait elle aussi une étude indépendante","Ab_5e7jEoag","bfm"
130,385,388.67,"qui disait que 7 produits sur 10 étaient non conformes et disait attention","Ab_5e7jEoag","bfm"
131,388.67,391.12,"n'achetez pas des jouets là. Si votre","Ab_5e7jEoag","bfm"
132,391.12,394.39,"enfant le met en bouche, il y a des peintures qui sont non conformes, des","Ab_5e7jEoag","bfm"
133,394.39,396.199,"chargeurs de téléphone aussi pour les","Ab_5e7jEoag","bfm"
134,396.199,400.469,"adultes dangereux. Et je crois que 4 % seulement étaient conforme. Donc faut","Ab_5e7jEoag","bfm"
135,400.469,401.96,"faire attention. Donc on n'est pas","Ab_5e7jEoag","bfm"
136,401.96,406.51,"contre la concurrence porte ouverte à tous ceux qui veulent bien sûr vendre","Ab_5e7jEoag","bfm"
137,406.51,408.759,"mais en respectant les normes et les","Ab_5e7jEoag","bfm"
138,408.759,411.67,"règles européennes et françaises. Ça veut dire que vous quand vous vendez","Ab_5e7jEoag","bfm"
139,411.67,413.12,"un produit dans votre magasin, vous êtes","Ab_5e7jEoag","bfm"
140,413.12,416.629,"comptable du respect des normes. Mais bien évidemment. Alors souvent,","Ab_5e7jEoag","bfm"
141,416.629,418,"vous avez raison à Pauline de Malam, on","Ab_5e7jEoag","bfm"
142,418,421.55,"me dit souvent ""Oui mais vous aussi vous importez de Chine depuis des années.""","Ab_5e7jEoag","bfm"
143,421.55,423.199,"Mais on le fait avec des ingénieurs","Ab_5e7jEoag","bfm"
144,423.199,426.55,"qualité qui vont sur place, qui contrôlent les usines, qui donnent des","Ab_5e7jEoag","bfm"
145,426.55,428.96,"cahiers décharges et les produits qui","Ab_5e7jEoag","bfm"
146,428.96,432.589,"arrivent respectent la réglementation. Là, le petit colis, il arrive","Ab_5e7jEoag","bfm"
147,432.589,434.24,"directement du Chine dans votre boîte","Ab_5e7jEoag","bfm"
148,434.24,437.07,"aux lettres sans contrôle l'essentiel du temps,","Ab_5e7jEoag","bfm"
149,437.07,437.96,"sans droit de douane,","Ab_5e7jEoag","bfm"
150,437.96,442.309,"sans droit de douane qui plusit, il inonde le marché français et il met à","Ab_5e7jEoag","bfm"
151,442.309,445.12,"mal euh voilà de nombreux commerçants et","Ab_5e7jEoag","bfm"
152,445.12,447.189,"particulièrement dans les centre-villes par exemple,","Ab_5e7jEoag","bfm"
153,447.189,448.479,"il met à mal dans les centre-villes, il","Ab_5e7jEoag","bfm"
154,448.479,452.99,"a mis à mal aussi les hypermarchés. Alors, c'était moins le modèle des","Ab_5e7jEoag","bfm"
155,452.99,455.12,"magasins U que de certains de vos","Ab_5e7jEoag","bfm"
156,455.12,459.589,"confrères comme Auchamp, même comme Leclerc. Est-ce que vous vous dites","Ab_5e7jEoag","bfm"
157,459.589,462.319,"aujourd'hui c'est la fin des ultra","Ab_5e7jEoag","bfm"
158,462.319,464.39,"grands supermarchés de ce qu'on appelait les hyper ?","Ab_5e7jEoag","bfm"
159,464.39,465.879,"Oui, c'est un format qui a dominé","Ab_5e7jEoag","bfm"
160,465.879,469.55,"pendant une cinquantaine d'années dont dont dont les gens sont moins friants","Ab_5e7jEoag","bfm"
161,469.55,470.599,"aujourd'hui. Ils continuent à","Ab_5e7jEoag","bfm"
162,470.599,474.589,"fonctionner bien évidemment mais ils sont revus revisités. Nos grands","Ab_5e7jEoag","bfm"
163,474.589,476.8,"concurrents au champ réduit leur taille.","Ab_5e7jEoag","bfm"
164,476.8,480.629,"Il ils en avaient beaucoup. il les passe à 8000 m² par exemple parce que les gens","Ab_5e7jEoag","bfm"
165,480.629,482.159,"veulent des choses à taille plus","Ab_5e7jEoag","bfm"
166,482.159,487.189,"humaine. Ce qui est notre créneau à nous les magasins U, on a une 70 hypermarchés","Ab_5e7jEoag","bfm"
167,487.189,488.52,"à taille humaine qui ne eux ne","Ab_5e7jEoag","bfm"
168,488.52,492.27,"connaissent pas la crise quand on connaît le patron, quand on perd pas","Ab_5e7jEoag","bfm"
169,492.27,493.68,"trop de temps, quand on connaît l'esse","Ab_5e7jEoag","bfm"
170,493.68,497.629,"de caisse, ça fonctionne toujours. 1700 magasins partout en France.","Ab_5e7jEoag","bfm"
171,497.629,499.879,"Qu'est-ce que vous observez à à 10 jours","Ab_5e7jEoag","bfm"
172,499.879,502.309,"de Noël ? Alors, je vous dirais euh","Ab_5e7jEoag","bfm"
173,502.309,503.919,"l'effervescence de Noël n'est pas encore","Ab_5e7jEoag","bfm"
174,503.919,508.149,"là. J'étais au magasin fin de semaine, elle n'était elle n'était pas encore là.","Ab_5e7jEoag","bfm"
175,508.149,509.96,"C'est un Noël pour beaucoup de Français","Ab_5e7jEoag","bfm"
176,509.96,513.389,"sous contrainte et pour d'autres, je dirais sans enthousiasme. Sous","Ab_5e7jEoag","bfm"
177,513.389,514.8,"contrainte. Je rappelle qu'un français","Ab_5e7jEoag","bfm"
178,514.8,519.23,"sur deux aèmes de fin de mois. Je rappelle que cette année 36 % des","Ab_5e7jEoag","bfm"
179,519.23,522.12,"Français sont en précarité énergétique.","Ab_5e7jEoag","bfm"
180,522.12,526.19,"Donc ces gens-là, autant vous dire que ils se serrent la ceinture surtout. Et","Ab_5e7jEoag","bfm"
181,526.19,527.88,"de l'autre côté, alors après, on me dit","Ab_5e7jEoag","bfm"
182,527.88,531.71,"""Oui, mais monsieur Chalcher les Français épargnent. Il y a beaucoup","Ab_5e7jEoag","bfm"
183,531.71,534.76,"d'épargnes, et cetera."" Ça concerne une","Ab_5e7jEoag","bfm"
184,534.76,539.19,"partie de français mais pas la majorité et eux aussi consomment Oui. notamment","Ab_5e7jEoag","bfm"
185,539.19,541.12,"les retraités sans enthousiasme. Il y a","Ab_5e7jEoag","bfm"
186,541.12,545.47,"pas voilà donc on arbitrera, on fera des choix, on se fera sans doute plaisir","Ab_5e7jEoag","bfm"
187,545.47,546.36,"parce que voilà.","Ab_5e7jEoag","bfm"
188,546.36,549.35,"Alors on peut se faire plaisir sur quoi sans que ça coûte trop cher ?","Ab_5e7jEoag","bfm"
189,549.35,550.88,"Alors globalement bonne nouvelle alors","Ab_5e7jEoag","bfm"
190,550.88,554.79,"il y a des bonnes nouvelles, c'est que les prix seront stables par rapport au","Ab_5e7jEoag","bfm"
191,554.79,556.56,"Noël de l'année dernière voir un peu en","Ab_5e7jEoag","bfm"
192,556.56,561.11,"baisse par exemple sur le foie gras. Et du coup le foie gras et le son fumé pour","Ab_5e7jEoag","bfm"
193,561.11,563.32,"l'instant se portent bien. Par contre,","Ab_5e7jEoag","bfm"
194,563.32,566.43,"il y a un produit qui allait trop loin et où les gens me disent ""Mais je j'en","Ab_5e7jEoag","bfm"
195,566.43,568.24,"achète plus, c'est le chocolat"". Je","Ab_5e7jEoag","bfm"
196,568.24,571.71,"pense que le chocolat, on a atteint un niveau de prix où un certain nombre de","Ab_5e7jEoag","bfm"
197,571.71,573.12,"gens disent ""À ce prix-là, j'en achète","Ab_5e7jEoag","bfm"
198,573.12,577.99,"plus."" Et ça allait trop loin. Les cours mondiaux ont fortement augmenté, donc ça","Ab_5e7jEoag","bfm"
199,577.99,580.079,"s'est répercuté. Aujourd'hui, il baisse","Ab_5e7jEoag","bfm"
